venue_id,venue_name,city,starting_price,venue_link,address,lattitude,longitude,is_new,locality,locality_zone,court_count,venue_image_api_url,hudle_venue_id
133766,Score Indoor Pickleball | Saki Naka,Mumbai,50,https://hudle.in/venues/score-pickleball-saki-naka/133766,"Krishanlal Marwah Industrial Estate, Saki Vihar Road, Marol, Andheri East, Mumbai, Maharashtra",19.111803,72.886091,TRUE,Andheri,Western Suburbs,5,https://media.hudle.in/venues/ce7f35e8-8486-4623-8d9c-0a7d01e3f40f/photo/2eb2fa03745a67c65579fdbfeff4e58b184f09e2,ce7f35e8-8486-4623-8d9c-0a7d01e3f40f
320629,TSG X Global Sports Pickleball | Andheri Sports Complex,Mumbai,500,https://hudle.in/venues/tsg-x-global-sports-pickleball-andheri-sports-complex/320629,"Sports Complex, JP Road, Sahayog Society, Munshi Nagar, Andheri West, Mumbai, Maharashtra",19.126939,72.83627,TRUE,Andheri,Western Suburbs,6,https://media.hudle.in/venues/7c002c3e-6c58-449f-ab28-4245037857dc/photo/2d57e7c02f2796214e58e33afceedbbd9d9aeb20,7c002c3e-6c58-449f-ab28-4245037857dc
329288,Radio Club | Bombay Pickleball and Padel Club,Mumbai,400,https://hudle.in/venues/radio-club-bombay-padel-club/329288,"157, Arthur Bunder rd, Apollo Bunder, Colaba 400001",18.91824,72.831838,TRUE,Colaba,South Mumbai,1,https://media.hudle.in/venues/e4f0b7e4-cc3a-4ed1-b127-6c25957c8922/photo/a4de8d7532ca96e484498dd323874bb902a19420,e4f0b7e4-cc3a-4ed1-b127-6c25957c8922
815995,Squat Up Pickleball | Vidyavihar West,Mumbai,450,https://hudle.in/venues/squat-up-pickleball-vidyavihar-west/815995,101/102 Nilkanth corporate park Kirol road Vidyavihar west 400086,19.081313,72.895999,TRUE,Kurla,Central Suburbs,1,https://media.hudle.in/venues/2b0d484e-4f41-41e7-926a-d22bd3e1b8ba/photo/84ef7f9237ae015f0dc13d8d3f633b9430b3aa42,2b0d484e-4f41-41e7-926a-d22bd3e1b8ba
956509,PicklePro Club | Equinox Business Park | BKC,Mumbai,750,https://hudle.in/venues/pse-equinox-business-park-bkc/956509,"Equinox Business Park, Lal Bahadur Shastri Marg, Ambedkar Nagar, Kurla West, Mumbai- 400070",19.071122,72.875685,TRUE,Kurla,Central Suburbs,1,https://media.hudle.in/venues/d71aee9f-6acc-4a0f-82e5-f2f8e1ef844c/photo/edfe71c83697add201967b13c2f668e53f26fe3e,d71aee9f-6acc-4a0f-82e5-f2f8e1ef844c
133062,Sportzella Pickleball Center,Mumbai,100,https://hudle.in/venues/sportzella-pickleball/133062,"Sportzella Turf, Aaram Society Rd, Hind Nagar, Vakola, Santacruz East, Mumbai, Maharashtra 400055",19.077947,72.856993,FALSE,Santacruz,Western Suburbs,3,https://media.hudle.in/venues/b3180216-e53d-4026-8da7-2a2f13f607c2/photo/deaaf11106dc82da4c04c2d57fe1205b86f1575b,b3180216-e53d-4026-8da7-2a2f13f607c2
442893,Aim Sports Pickleball | Nanavati,Mumbai,400,https://hudle.in/venues/aim-sports-pickleball-nanavati/442893,"Shree Chandulal Nanavati Vinay Mandir (Nanavati School), Vallabhbhai Patel Road, LIC Colony, Suresh Colony, Vile Parle West, Mumbai, Maharashtra",19.097027,72.840648,TRUE,Vile Parle,Western Suburbs,2,https://media.hudle.in/venues/a19b9a7d-314c-4b6a-a6f8-d462c70edd47/photo/af6ae69689eb48a116cfecf461eb049d5e7fe58d,a19b9a7d-314c-4b6a-a6f8-d462c70edd47
677644,Ocean’s Edge Pickleball Club | Jai Hind College,Mumbai,50,https://hudle.in/venues/oceans-edge-pickleball-club-jai-hind-college/677644,"Jai Hind College, A Road, Churchgate, Mumbai, Maharashtra",18.934511,72.825211,TRUE,Churchgate,South Mumbai,3,https://media.hudle.in/venues/7c5a0e6d-b720-473b-ae91-5af284e01ee6/photo/1799ec7a10e7b0e952daa1bf49cb1d3e1e05a8f2,7c5a0e6d-b720-473b-ae91-5af284e01ee6
518657,Global Sports Pickleball Center | Juhu,Mumbai,250,https://hudle.in/venues/the-pickleball-company-by-global-sports-juhu/518657,"N A. Ahuja Marg, Near Ritambhara College, Juhu, Mumbai - 400049",19.117919,72.823299,FALSE,Andheri,Western Suburbs,1,https://media.hudle.in/venues/2b6281da-2013-437f-b237-09190f061656/photo/ca75f1e4d4212f24ce13cd083416b79ebd4cc2c9,2b6281da-2013-437f-b237-09190f061656
254340,PlayOSport | Tardeo,Mumbai,50,https://hudle.in/venues/playosport-tardeo/254340,"63, Tardeo Rd, above SBI bank, Haji Ali, Arya Nagar, Tulsiwadi, Tardeo, Mumbai, Maharashtra",18.97522,72.81298,TRUE,Mumbai Central,South Mumbai,3,https://media.hudle.in/venues/9f8a1c64-7501-4ff3-90d1-1cf66e8be6ef/photo/a8a7101f10ee3483f8c9581739b2ea1dd49b84e3,9f8a1c64-7501-4ff3-90d1-1cf66e8be6ef
